"GPI_COUNTRY","GPI_CONTINENT","GPI_CNT_PLAYER_ID","GPI_AVG_GDP_PER_CAPITA","GPI_AVG_POPULATION","GPI_AVG_POPULATION_AGED_15TO29","GPI_CNT_PLAYERS_ON_1MIL_POP","GPI_AVG_SHARE_OF_INDIVIDUALS_USING_INTERNET"
"Iceland","Europe",65,48438.12452,315238.28,69181.24,206.193233,82.6870236
"Indonesia","Asia",701,8258.204884,240668958,63377855.36,2.912715,15.720920209
"Australia","Australia and Oceania",1359,43977.31208,21831114.48,4544230.92,62.250601,69.388977714
"Malaysia","Asia",501,20519.5926,27855591.68,7693424.16,17.985617,53.287382992
"Kazakhstan","Asia",444,19003.19904,16746445.48,4149639.96,26.513089,35.240546334
"Switzerland","Europe",248,64707.08796,7803279.68,1407529.04,31.781509,72.91793576
"Hungary","Europe",260,25019.47996,9992153.8,1974467.88,26.020416,50.887719948
"Costa Rica","North America",17,16309.64416,4526764.2,1167564.56,3.755442,38.565609168
"Honduras","North America",7,4747.873428,8245258.04,2449731.56,0.848973,14.642112903
"Nepal","Asia",70,2710.061444,26721475.36,7537720.84,2.619616,9.475091512
"Nicaragua","North America",3,4704.4015,5816918.92,1742172.24,0.515737,12.237533386
"Senegal","Africa",4,2880.307408,12479000.48,3502930.72,0.320538,12.292345875
"Ghana","Africa",5,3823.849984,25160436.72,7152532.92,0.198725,14.573206399
"Tanzania","Africa",1,1930.611452,45369358.64,12308941.76,0.022041,5.517167639
